player,rating,RD,vol,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index
ALERTA JOEB,1508.449864695909,143.97410246017665,0.05999724117763639,5.0,0.2,1.0,-4.0
ANDRINO GILBERT,1442.582604262017,150.81212180589864,0.05999738318895802,5.0,-1.8,0.0,
ANG SEAN TIMOTHY,1344.9901209965751,95.79857629778218,0.05997761134592186,20.0,-2.15,0.0,
ARIAS ANTHONY BERNARD,1422.1237526009604,75.78510751183562,0.05996027266564859,24.0,-1.0833333333333333,4.0,-7.5
ARIAS CALEB LEON,1385.2300886627395,88.3420573213404,0.05997312067797562,25.0,-1.92,1.0,-2.0
ASERON JOSE GABRIEL,1494.4029111157176,156.1248857733809,0.059997338894297945,5.0,-1.0,0.0,
BAMBRICK CURTIS,1217.987963030036,150.69745735929948,0.05999944802035789,5.0,-4.2,0.0,
BAROQUILLO FERDINAND,1279.3320109093202,132.27978240528367,0.05999363489989016,9.0,-3.0,0.0,
BARRIENTOS JOHN PAUL,1237.604405420118,152.26663444942585,0.05999917149989248,5.0,-4.2,0.0,
BAUTISTA GABRIEL ANTONIO,1300.0427800784844,98.81773054639972,0.059983698917277714,19.0,-2.526315789473684,0.0,
BAUTISTA JIAN MIGUEL,1697.254103168898,61.650962876446734,0.059945048316847035,25.0,2.6,22.0,3.590909090909091
BAUTISTA JOSE LORENZO,1505.2453812308047,84.77997362869257,0.059979848476598006,20.0,-0.2,5.0,-4.6
BERNAL KIETH MEANFRED,1433.1234070565988,113.59842532046883,0.05999044242047297,10.0,-1.1,2.0,-3.5
BLANCH ALECSANDREI ETHAN,1536.9519861237802,76.47879078898292,0.05996820367638062,20.0,0.55,7.0,-1.0
BOO TRUE MALACHI,1366.8755450514063,174.9332519181081,0.05999798696906387,5.0,-2.0,1.0,-8.0
BUENTIPO JR. MEYNARDO EDWARD CARLO,1605.6194252598639,96.72427233607455,0.05998274733965165,19.0,1.6842105263157894,0.0,
BUENTIPO MEYNARDO EDWARD CARLO,1538.5123607024354,143.1182541028077,0.05999024900557051,,,,
BUGARING DENZEL KENT,1360.8366316340957,84.04549246942167,0.05996851005698417,25.0,-2.0,2.0,-10.0
BUNAGAN GABRIEL,1459.7821222353853,73.25694133705616,0.059957961963866324,23.0,-0.6086956521739131,6.0,-4.0
CABRERA JOSE FABER,1536.0798980147551,116.12706765623109,0.05999886013617757,10.0,0.7,5.0,3.6
CANAVERAL JUDE KADMIEL,1292.9796945931018,166.55263719589777,0.05999859052274008,5.0,-3.0,0.0,
CAPINA DUNHILL,1533.8760591774958,72.8522256793973,0.05997567024799401,25.0,1.04,6.0,-4.0
CARLOS KYLE ADAM,1264.3861835339037,142.2377358847784,0.059994628992561444,10.0,-2.9,0.0,
CASTILLO RENZO VAN JORDZ,1314.8242812695999,148.65739384222815,0.05999820551557959,5.0,-3.4,0.0,
CHAN JOAQUIN BENITO,1530.760550751223,155.5844290059502,0.05999735911905011,4.0,0.5,1.0,-1.0
COMALING MICHAEL VER ANTON,1390.3384636847948,160.50675040325595,0.05999770148708024,5.0,-0.8,1.0,-5.0
CONTADO ALJOR,1535.1506086630911,71.02198021556931,0.05997315717246331,20.0,0.65,9.0,-0.6666666666666666
CORSIGA RAFAEL,1361.5507397178344,123.03803548990142,0.059993838002110264,10.0,-2.0,1.0,-4.0
DATOR ALLAN,1445.584594777205,72.35336151630342,0.059956604477223,24.0,-0.75,8.0,-2.875
DE GUZMAN REYNALDO,1355.2992287495645,150.5255475071296,0.059997858868705296,5.0,-2.0,1.0,-9.0
DE LUSONG JR MARK ANTHONY,1338.9654830427553,151.92358994496328,0.05999800564236269,5.0,-2.8,0.0,
DE SILOS JOAQUIN PABLO,1379.0101037389177,79.68488228644247,0.059967754889662106,25.0,-1.48,3.0,-6.333333333333333
DEL CASTILLO OSCAR GABRIEL,1660.2887985602638,68.31765353436904,0.059953880494723305,24.0,2.125,15.0,2.933333333333333
DELA CRUZ ARDHY,1276.1626411055008,155.5769447999235,0.05999869106120094,5.0,-3.6,0.0,
DELA CRUZ DOMINIQUE PAUL,1574.8307794784619,92.09537596730625,0.05997946504504628,14.0,0.9285714285714286,6.0,0.6666666666666666
DELA PAZ FRANCIS ANGELO,1489.5394120301278,145.09880178118848,0.059997251017209194,5.0,0.4,1.0,-4.0
DEVEZA LUIS INIGO,1346.2253688817966,130.113093279368,0.05999336745252345,9.0,-1.5555555555555556,1.0,-3.0
DIMAILIG CARLOS,1450.7961102390677,109.13680285265887,0.059991071291893946,10.0,0.2,3.0,-2.0
