Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20251,pool1,BUGARING DENZEL KENT,LARGO ZEBASTIAN ISAIAH,3.0,5.0,-2.0,0,0.3
20251,pool1,MENDOZA JAIRUS,JOSE NOELITO JR.,0.0,5.0,-5.0,0,0.0
20251,pool1,CORSIGA RAFAEL,SESE JUANCHO MIGUEL,0.0,5.0,-5.0,0,0.0
20251,pool1,JOSE NOELITO JR.,BUGARING DENZEL KENT,5.0,0.0,5.0,1,1.0
20251,pool1,LARGO ZEBASTIAN ISAIAH,CORSIGA RAFAEL,5.0,4.0,1.0,1,0.6
20251,pool1,SESE JUANCHO MIGUEL,MENDOZA JAIRUS,5.0,4.0,1.0,1,0.6
20251,pool1,BUGARING DENZEL KENT,CORSIGA RAFAEL,5.0,3.0,2.0,1,0.7
20251,pool1,JOSE NOELITO JR.,SESE JUANCHO MIGUEL,5.0,0.0,5.0,1,1.0
20251,pool1,MENDOZA JAIRUS,LARGO ZEBASTIAN ISAIAH,4.0,5.0,-1.0,0,0.4
20251,pool1,SESE JUANCHO MIGUEL,BUGARING DENZEL KENT,5.0,4.0,1.0,1,0.6
20251,pool1,CORSIGA RAFAEL,MENDOZA JAIRUS,2.0,5.0,-3.0,0,0.2
20251,pool1,LARGO ZEBASTIAN ISAIAH,JOSE NOELITO JR.,2.0,5.0,-3.0,0,0.2
20251,pool1,BUGARING DENZEL KENT,MENDOZA JAIRUS,3.0,5.0,-2.0,0,0.3
20251,pool1,SESE JUANCHO MIGUEL,LARGO ZEBASTIAN ISAIAH,3.0,5.0,-2.0,0,0.3
20251,pool1,JOSE NOELITO JR.,CORSIGA RAFAEL,5.0,1.0,4.0,1,0.9
20251,pool2,CARLOS KYLE ADAM,MAYO MATT JACOB,5.0,3.0,2.0,1,0.7
20251,pool2,CABRERA JOSE FABER,TAN MICHAEL HIJO,5.0,3.0,2.0,1,0.7
20251,pool2,GERONIMO DON REYZEL,ERGINA LEE EIGRAN,0.0,5.0,-5.0,0,0.0
20251,pool2,TAN MICHAEL HIJO,CARLOS KYLE ADAM,5.0,1.0,4.0,1,0.9
20251,pool2,GERONIMO DON REYZEL,MAYO MATT JACOB,5.0,4.0,1.0,1,0.6
20251,pool2,ERGINA LEE EIGRAN,CABRERA JOSE FABER,3.0,5.0,-2.0,0,0.3
20251,pool2,CARLOS KYLE ADAM,GERONIMO DON REYZEL,4.0,5.0,-1.0,0,0.4
20251,pool2,TAN MICHAEL HIJO,ERGINA LEE EIGRAN,2.0,5.0,-3.0,0,0.2
20251,pool2,CABRERA JOSE FABER,MAYO MATT JACOB,5.0,2.0,3.0,1,0.8
