player,rating,RD,vol,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ABERILLA RANZEL ANGELO,1451.4224157961862,167.88967561784688,0.059997505274178624,5.0,-0.8,1.0,-10.0,2.0,3.0,0.0,1.0
ANG ZACHARY GABRIEL,1595.2024751993204,144.86124082071447,0.05999749176859649,5.0,1.4,2.0,0.5,3.0,2.0,1.0,1.0
CABAERO ROBERT YGNATIUS,1769.868026722562,72.08974183819015,0.05996671918953562,23.0,2.4782608695652173,14.0,1.7142857142857142,18.0,5.0,9.0,5.0
CADIENTE RAINIER,1380.4759996077744,169.19885232394245,0.05999784038836996,4.0,-2.0,1.0,-12.0,1.0,3.0,0.0,1.0
CANLAS DANIEL KARLO,1475.5999400436312,83.10928533518849,0.05998118765294094,24.0,-0.7083333333333334,6.0,-3.6666666666666665,9.0,15.0,2.0,4.0
CARLOS CIAN MIGUEL,1319.8221747312878,153.07995134633325,0.05999819219596899,5.0,-3.0,1.0,-10.0,1.0,4.0,0.0,1.0
CHAN JOAQUIN BENITO,1339.941353551661,168.03329265405023,0.05999813682105271,5.0,-4.4,0.0,,0.0,5.0,,
CHAN OCTAVEUS LEEROI,1569.440793211609,87.35874782782965,0.05998548907086735,20.0,0.5,4.0,-9.0,11.0,9.0,0.0,4.0
CRUZ KRISTOV BENEDICT,1313.4597566654807,88.84550844042154,0.05997364093826483,24.0,-2.4583333333333335,4.0,-10.75,5.0,19.0,0.0,4.0
DAVIES KEONN LANDON,1507.0819844976545,149.94897456847107,0.0599972881859212,6.0,1.1666666666666667,2.0,-3.5,4.0,2.0,1.0,1.0
DELA PENA HANZ ADRIAN,1511.0943554798148,163.87357798430043,0.05999740856637436,5.0,0.0,1.0,-5.0,2.0,3.0,0.0,1.0
DIVINAGRACIA INIGO,1532.4353399756662,90.60043159434028,0.05997480422613901,18.0,-0.16666666666666666,5.0,-3.6,8.0,10.0,1.0,4.0
EVANGELISTA ENZO,1293.1084572355442,175.33013367558254,0.05999867039657359,4.0,-4.75,0.0,,0.0,4.0,,
EVANGELISTA VINCENT DYLAN,1202.558913789613,110.76220676173983,0.05999297276373774,16.0,-3.3125,0.0,,2.0,14.0,,
FELIPE PRINCE JOHN FRANCIS,1756.2220004737915,73.34988088140346,0.059970527939310125,22.0,3.0454545454545454,12.0,2.4166666666666665,17.0,5.0,7.0,5.0
FELIPE SHAWN NICOLLEI,1836.758371544904,72.18376165070303,0.05996006178374931,25.0,3.84,16.0,3.4375,25.0,0.0,11.0,5.0
FERNANDEZ LAMAR ANDREI,1305.9576519851253,183.0867742965255,0.059998606131547914,5.0,-3.2,0.0,,0.0,5.0,,
GALE BRYNT EMBER,1661.0449784379534,83.60822670873502,0.059971649166160566,20.0,1.55,7.0,1.5714285714285714,13.0,7.0,3.0,4.0
GAMILLA MARION,1395.9329950629688,162.59684764495907,0.05999768738631784,5.0,-0.4,1.0,-13.0,1.0,4.0,0.0,1.0
GERONIMO PRINCE MATTHEW,1367.5257394697055,105.75659360205013,0.059987199318515046,15.0,-1.2666666666666666,3.0,-11.0,5.0,10.0,0.0,3.0
GONZALES DION DAVID,1486.3038891107383,123.25207568672211,0.059991435316185206,10.0,-0.7,2.0,-7.5,4.0,6.0,0.0,2.0
GONZALEZ MATTHEW AIDAN,1679.1208310120635,149.6715810402503,0.05999815394368459,5.0,0.8,2.0,0.5,3.0,2.0,1.0,1.0
GUINTO CLYD LORENZO,1476.5600356355342,148.92385680144784,0.0599972934125991,5.0,-1.8,2.0,1.5,1.0,4.0,1.0,1.0
IDOLYANTES FRANCIS CHARWIN,1473.706638110397,150.13008826828957,0.059997307031871394,5.0,0.0,1.0,-4.0,2.0,3.0,0.0,1.0
JACINTO LUCAS,1209.1065876901914,137.6898321692556,0.0599948850523838,10.0,-4.0,0.0,,0.0,10.0,,
JARANGDON ALWYNN,1288.5512799228702,167.8103590551188,0.05999865213542502,5.0,-4.4,0.0,,0.0,5.0,,
LACERNA REINDELLE,1584.9610347748658,153.98340049157807,0.05999751563949619,5.0,0.6,2.0,-0.5,2.0,3.0,1.0,1.0
LIM JAMES LIMUEL,1781.5713873091026,76.89389963991805,0.05996883561066177,23.0,3.217391304347826,12.0,2.3333333333333335,21.0,2.0,7.0,5.0
MANINANG RYAN,1259.3367588353137,181.34878596956395,0.05999913815721125,6.0,-3.1666666666666665,0.0,,1.0,5.0,,
MANUEL MARCUS ANTONIO,1768.6631393012801,71.22277779000619,0.059973575821961604,23.0,2.8260869565217392,12.0,3.25,21.0,2.0,7.0,5.0
MARAVILLA RAYNE LOUIE,1504.6555360985726,120.30230537403128,0.059990658347496395,9.0,-0.4444444444444444,4.0,-2.0,4.0,5.0,2.0,2.0
MERCADO JOSE LORENZO,1567.832496146711,157.72132071788326,0.059997476296041706,5.0,1.4,1.0,-6.0,3.0,2.0,0.0,1.0
MONTANO JOSE FRANCISCO,1464.7598231262382,121.19023869894514,0.059994489109793755,10.0,-1.5,3.0,-1.6666666666666667,4.0,6.0,1.0,2.0
MYERS DEAN SAMUEL,1802.3407280917952,145.59115750309923,0.05999972894315368,4.0,2.5,3.0,2.6666666666666665,4.0,0.0,2.0,1.0
NICANOR MICHAEL,1720.495932639673,92.13760311963873,0.05998405346461627,15.0,2.533333333333333,8.0,3.125,12.0,3.0,5.0,3.0
NOGOT ERICK,1407.1420166679359,88.31822555419778,0.05998555895617776,19.0,-1.736842105263158,5.0,-6.6,6.0,13.0,1.0,4.0
OBZUNAR FRANCES AVIT,1610.2262206825487,113.18942582962066,0.05999003235395133,10.0,1.5,4.0,0.0,7.0,3.0,2.0,2.0
ONG JEREMY DAVID,1542.5764993891917,98.65860115711352,0.05998282094067204,15.0,-0.06666666666666667,4.0,-5.75,7.0,8.0,1.0,3.0
PALAFOX LUCAS,1421.889235840907,104.7600440678414,0.05998618097892608,13.0,-1.9230769230769231,3.0,-5.0,3.0,10.0,1.0,2.0
PALMA MATTHEW DOMINIC,1629.8021135880379,152.53188892571475,0.05999776452684828,5.0,-0.2,2.0,-1.5,2.0,3.0,1.0,1.0
