Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20251,pool1,MENDOZA JENNINA,ONG JICKLE CLAIN,5,2,3,1,0.8
20251,pool1,JIMENEZ JULIANNA,VELASCO ZOEY NICOLE,5,1,4,1,0.9
20251,pool1,RAFAEL RANA IMOGEN,LARRAZABAL ALEXA,2,5,-3,0,0.2
20251,pool1,VELASCO ZOEY NICOLE,MENDOZA JENNINA,2,5,-3,0,0.2
20251,pool1,ONG JICKLE CLAIN,RAFAEL RANA IMOGEN,5,4,1,1,0.6
20251,pool1,LARRAZABAL ALEXA,JIMENEZ JULIANNA,5,1,4,1,0.9
20251,pool1,MENDOZA JENNINA,RAFAEL RANA IMOGEN,5,4,1,1,0.6
20251,pool1,VELASCO ZOEY NICOLE,LARRAZABAL ALEXA,0,5,-5,0,0.0
20251,pool1,JIMENEZ JULIANNA,ONG JICKLE CLAIN,3,5,-2,0,0.3
20251,pool1,LARRAZABAL ALEXA,MENDOZA JENNINA,5,0,5,1,1.0
20251,pool1,RAFAEL RANA IMOGEN,JIMENEZ JULIANNA,4,5,-1,0,0.4
20251,pool1,ONG JICKLE CLAIN,VELASCO ZOEY NICOLE,5,4,1,1,0.6
20251,pool1,MENDOZA JENNINA,JIMENEZ JULIANNA,5,4,1,1,0.6
20251,pool1,LARRAZABAL ALEXA,ONG JICKLE CLAIN,5,2,3,1,0.8
20251,pool1,VELASCO ZOEY NICOLE,RAFAEL RANA IMOGEN,0,5,-5,0,0.0
20251,pool2,ALPUERTO PARIS,SCHOFIELD CYRYLLE ANNE,0,5,-5,0,0.0
20251,pool2,ABELLA HANNIEL,TAPALES ENDIRAJ MARGARET,5,4,1,1,0.6
20251,pool2,DEL ROSARIO SARINA KELLY,MANGULABNAN KIANA DOMINIQUE,5,1,4,1,0.9
20251,pool2,TAPALES ENDIRAJ MARGARET,ALPUERTO PARIS,5,2,3,1,0.8
20251,pool2,SCHOFIELD CYRYLLE ANNE,DEL ROSARIO SARINA KELLY,5,3,2,1,0.7
20251,pool2,MANGULABNAN KIANA DOMINIQUE,ABELLA HANNIEL,3,5,-2,0,0.3
20251,pool2,ALPUERTO PARIS,DEL ROSARIO SARINA KELLY,2,5,-3,0,0.2
20251,pool2,TAPALES ENDIRAJ MARGARET,MANGULABNAN KIANA DOMINIQUE,5,4,1,1,0.6
20251,pool2,ABELLA HANNIEL,SCHOFIELD CYRYLLE ANNE,5,2,3,1,0.8
20251,pool2,MANGULABNAN KIANA DOMINIQUE,ALPUERTO PARIS,5,3,2,1,0.7
20251,pool2,DEL ROSARIO SARINA KELLY,ABELLA HANNIEL,2,5,-3,0,0.2
20251,pool2,SCHOFIELD CYRYLLE ANNE,TAPALES ENDIRAJ MARGARET,5,3,2,1,0.7
20251,pool2,ALPUERTO PARIS,ABELLA HANNIEL,0,5,-5,0,0.0
20251,pool2,MANGULABNAN KIANA DOMINIQUE,SCHOFIELD CYRYLLE ANNE,0,5,-5,0,0.0
20251,pool2,TAPALES ENDIRAJ MARGARET,DEL ROSARIO SARINA KELLY,4,5,-1,0,0.4
20251,pool3,HARRISON ASHLEY MAE MICHELLE,JUNIA ELEINA MARGUERITE,5,0,5,1,1.0
