Leg,Round,Right Fencer,Left Fencer,Score,Winner
1,Table of 32,LARRAZABAL ALEXA,TRINIDAD SOLANA MAYUMI,"15 - 5
Ref JOSE NOELITO JR. NTP / PHI",LARRAZABAL ALEXA
1,Table of 32,MANAOIS IRISH,ONG JICKLE CLAIN,"15 - 8
Ref GONZALES TIMOTHY DALE NTP / PHI",ONG JICKLE CLAIN
1,Table of 32,VILLAPANDO JHOLAN,BERNABE FRANCESCA BETTINA,"15 - 13
Ref BAUTISTA JIAN MIGUEL NTP / PHI",BERNABE FRANCESCA BETTINA
1,Table of 32,JIMENEZ JULIANNA,DINOY IVY CLAIRE,"15 - 5
Ref DEL ROSARIO CLICHELLEYN PHI",DINOY IVY CLAIRE
1,Table of 32,VERGARA CYRRA,FELICIANO SUMMER LUCINE,"15 - 8
Ref MARAVILLA REMI RF / PHI",VERGARA CYRRA
1,Table of 32,BELEN FRANCES CAMILLE,MENDOZA JENNINA,"15 - 2
Ref DAYRO JOHN PAUL UP / PHI",MENDOZA JENNINA
1,Table of 32,SALVADOR IVANA,NORO NAMI,"15 - 8
Ref VALENA MALCOLM PHI",NORO NAMI
1,Table of 32,RAFAEL GAY MARIE,BALLESTEROS JULIANNA,"15 - 9
Ref CURIBA DOLLY MAE PHI",BALLESTEROS JULIANNA
1,Table of 32,CANLAS NINA DOMINIQUE,UY JANA ANNIKA,"15 - 12
Ref JOSE NOELITO JR. NTP / PHI",CANLAS NINA DOMINIQUE
1,Table of 32,RAGOT MIKAELA NICOLE,GOMEZ JULIANA MA. BEATRICE,"15 - 7
Ref DEL ROSARIO CLICHELLEYN PHI",GOMEZ JULIANA MA. BEATRICE
1,Table of 32,BUSTOS MICKYLE REIN,EDNILAG KRUPS KAYA,"15 - 11
Ref GONZALES TIMOTHY DALE NTP / PHI",BUSTOS MICKYLE REIN
1,Table of 32,TORRE PAPINA MARGUERITE,MATIAS ANDREA JENNELLE,"15 - 10
Ref PEREZ NATHANIEL NTP / PHI",MATIAS ANDREA JENNELLE
1,Table of 32,HARRISON ASHLEY MAE MICHELLE,JUNIA ELEINA MARGUERITE,"15 - 8
Ref BAUTISTA JIAN MIGUEL NTP / PHI",HARRISON ASHLEY MAE MICHELLE
1,Table of 32,TAPALES ENDIRAJ MARGARET,SCHOFIELD CYRYLLE ANNE,"15 - 8
Ref DAYRO JOHN PAUL UP / PHI",TAPALES ENDIRAJ MARGARET
1,Table of 32,DEL ROSARIO SARINA KELLY,DELOS SANTOS JAYMI,"15 - 4
Ref CABAERO RAVEN PHI",DELOS SANTOS JAYMI
1,Table of 32,RAFAEL RANA IMOGEN,ABELLA HANNIEL,"15 - 5
Ref MARAVILLA REMI RF / PHI",ABELLA HANNIEL
1,Table of 16,LARRAZABAL ALEXA,ONG JICKLE CLAIN,"15 - 9
Ref JOSE NOELITO JR. NTP / PHI
12:17 PM",LARRAZABAL ALEXA
1,Table of 16,BERNABE FRANCESCA BETTINA,DINOY IVY CLAIRE,"15 - 8
Ref CABAERO RAVEN PHI
12:20 PM",DINOY IVY CLAIRE
1,Table of 16,VERGARA CYRRA,MENDOZA JENNINA,"15 - 11
Ref MARAVILLA REMI RF / PHI
12:14 PM",MENDOZA JENNINA
1,Table of 16,NORO NAMI,BALLESTEROS JULIANNA,"15 - 13
Ref GONZALES TIMOTHY DALE NTP / PHI
12:22 PM",BALLESTEROS JULIANNA
1,Table of 16,CANLAS NINA DOMINIQUE,GOMEZ JULIANA MA. BEATRICE,"15 - 14
Ref VALENA MALCOLM PHI
12:32 PM",GOMEZ JULIANA MA. BEATRICE
1,Table of 16,BUSTOS MICKYLE REIN,MATIAS ANDREA JENNELLE,"15 - 10
Ref DEL ROSARIO CLICHELLEYN PHI
12:33 PM",MATIAS ANDREA JENNELLE
1,Table of 16,HARRISON ASHLEY MAE MICHELLE,TAPALES ENDIRAJ MARGARET,"14 - 11
Ref PEREZ NATHANIEL NTP / PHI
12:36 PM",HARRISON ASHLEY MAE MICHELLE
1,Table of 16,DELOS SANTOS JAYMI,ABELLA HANNIEL,"15 - 10
Ref BAUTISTA JIAN MIGUEL NTP / PHI
12:32 PM",DELOS SANTOS JAYMI
1,Table of 8,LARRAZABAL ALEXA,DINOY IVY CLAIRE,"15 - 12
Ref BAUTISTA JIAN MIGUEL NTP / PHI
12:56 PM",LARRAZABAL ALEXA
1,Table of 8,MENDOZA JENNINA,BALLESTEROS JULIANNA,"15 - 9
Ref GONZALES TIMOTHY DALE NTP / PHI
12:57 PM",MENDOZA JENNINA
1,Table of 8,GOMEZ JULIANA MA. BEATRICE,MATIAS ANDREA JENNELLE,"15 - 11
Ref VALENA MALCOLM PHI
1:05 PM",GOMEZ JULIANA MA. BEATRICE
1,Table of 8,HARRISON ASHLEY MAE MICHELLE,DELOS SANTOS JAYMI,"15 - 11
Ref ERGINA LEE EIGRAN NTP / PHI
1:04 PM",HARRISON ASHLEY MAE MICHELLE
1,Semi-Finals,LARRAZABAL ALEXA,MENDOZA JENNINA,"15 - 12
Ref JOSE NOELITO JR. NTP / PHI
Video GONZALES TIMOTHY DALE NTP / PHI
1:29 PM",LARRAZABAL ALEXA
1,Semi-Finals,GOMEZ JULIANA MA. BEATRICE,HARRISON ASHLEY MAE MICHELLE,"15 - 13
Ref ERGINA LEE EIGRAN NTP / PHI
1:28 PM",HARRISON ASHLEY MAE MICHELLE
1,Finals,LARRAZABAL ALEXA,HARRISON ASHLEY MAE MICHELLE,"15 - 13
Ref VALENA MALCOLM PHI
1:47 PM",LARRAZABAL ALEXA
2,Table of 64,SEVILLA JULIANA SHANE,- BYE -,,SEVILLA JULIANA SHANE
2,Table of 64,SIA SARAH-INGRID AURELIA,CAPUNO DAHLIA MAE,"15 - 14
Ref CAPINA DUNHILL HCFC / PHI",CAPUNO DAHLIA MAE
2,Table of 64,DELOS SANTOS JAYMI,- BYE -,,DELOS SANTOS JAYMI
2,Table of 64,- BYE -,MENDOZA JENNINA,,MENDOZA JENNINA
2,Table of 64,EDNILAG KRUPS KAYA,- BYE -,,EDNILAG KRUPS KAYA
2,Table of 64,- BYE -,SANDOVAL JUSTA ANDREA,,SANDOVAL JUSTA ANDREA
2,Table of 64,SALVADOR IVANA,- BYE -,,SALVADOR IVANA
2,Table of 64,- BYE -,TAPALES ENDIRAJ MARGARET,,TAPALES ENDIRAJ MARGARET
2,Table of 64,MATIAS ANDREA JENNELLE,- BYE -,,MATIAS ANDREA JENNELLE
2,Table of 64,- BYE -,TORRE PAPINA MARGUERITE,,TORRE PAPINA MARGUERITE
2,Table of 64,DELA CRUZ CHIARA MICHAELA,- BYE -,,DELA CRUZ CHIARA MICHAELA
2,Table of 64,- BYE -,SCHOFIELD CYRYLLE ANNE,,SCHOFIELD CYRYLLE ANNE
2,Table of 64,TRINIDAD SOLANA MAYUMI,- BYE -,,TRINIDAD SOLANA MAYUMI
2,Table of 64,- BYE -,RAGOT MIKAELA NICOLE,,RAGOT MIKAELA NICOLE
2,Table of 64,JUNIA ELEINA MARGUERITE,PALO AJ DREYFUS,"15 - 13
Ref JOSE NOELITO JR. NTP / PHI",JUNIA ELEINA MARGUERITE
2,Table of 64,- BYE -,GOMEZ JULIANA MA. BEATRICE,,GOMEZ JULIANA MA. BEATRICE
2,Table of 64,ABELLA HANNIEL,- BYE -,,ABELLA HANNIEL
2,Table of 64,FELICIANO SUMMER LUCINE,GEPUELA CATHERINE THERESE,"11 - 10
Ref JOSE SHERLYN HCFC / PHI",GEPUELA CATHERINE THERESE
2,Table of 64,FLORES MARIEL ELIANNE,- BYE -,,FLORES MARIEL ELIANNE
2,Table of 64,- BYE -,VILLAPANDO JHOLAN,,VILLAPANDO JHOLAN
2,Table of 64,DINOY IVY CLAIRE,- BYE -,,DINOY IVY CLAIRE
2,Table of 64,- BYE -,NORO NAMI,,NORO NAMI
2,Table of 64,MANAOIS IRISH,- BYE -,,MANAOIS IRISH
2,Table of 64,- BYE -,HARRISON ASHLEY MAE MICHELLE,,HARRISON ASHLEY MAE MICHELLE
2,Table of 64,LARRAZABAL ALEXA,- BYE -,,LARRAZABAL ALEXA
2,Table of 64,- BYE -,SYKAT ROBYN NOELLE,,SYKAT ROBYN NOELLE
2,Table of 64,MARTINEZ TASHA ISABELLA,- BYE -,,MARTINEZ TASHA ISABELLA
2,Table of 64,- BYE -,BUSTOS MICKYLE REIN,,BUSTOS MICKYLE REIN
2,Table of 64,ONG JICKLE CLAIN,- BYE -,,ONG JICKLE CLAIN
2,Table of 64,- BYE -,VERGARA CYRRA,,VERGARA CYRRA
2,Table of 64,BUENO MARIA KRISTINA ANGELA,LOPEZ ALTHEA SOPHIA,"15 - 12
Ref GAJON JOHN MICHAEL PHI",BUENO MARIA KRISTINA ANGELA
2,Table of 64,- BYE -,CANLAS NINA DOMINIQUE,,CANLAS NINA DOMINIQUE
2,Table of 32,SEVILLA JULIANA SHANE,CAPUNO DAHLIA MAE,"13 - 7
Ref GAJON JOHN MICHAEL PHI
12:17 PM",SEVILLA JULIANA SHANE
2,Table of 32,DELOS SANTOS JAYMI,MENDOZA JENNINA,"15 - 10
Ref MARAVILLA REMI RF / PHI",DELOS SANTOS JAYMI
2,Table of 32,EDNILAG KRUPS KAYA,SANDOVAL JUSTA ANDREA,"15 - 11
Ref CAPINA DUNHILL HCFC / PHI",EDNILAG KRUPS KAYA
2,Table of 32,SALVADOR IVANA,TAPALES ENDIRAJ MARGARET,"12 - 11
Ref DEL ROSARIO CLICHELLEYN PHI",SALVADOR IVANA
2,Table of 32,MATIAS ANDREA JENNELLE,TORRE PAPINA MARGUERITE,"15 - 6
Ref DAYRO JOHN PAUL UP / PHI",MATIAS ANDREA JENNELLE
2,Table of 32,DELA CRUZ CHIARA MICHAELA,SCHOFIELD CYRYLLE ANNE,"15 - 10
Ref JOSE SHERLYN HCFC / PHI",SCHOFIELD CYRYLLE ANNE
2,Table of 32,TRINIDAD SOLANA MAYUMI,RAGOT MIKAELA NICOLE,"15 - 9
Ref JOSE NOELITO JR. NTP / PHI",TRINIDAD SOLANA MAYUMI
2,Table of 32,JUNIA ELEINA MARGUERITE,GOMEZ JULIANA MA. BEATRICE,"15 - 2
Ref CABAERO RAVEN PHI
12:19 PM",GOMEZ JULIANA MA. BEATRICE
2,Table of 32,ABELLA HANNIEL,GEPUELA CATHERINE THERESE,"15 - 4
Ref CURIBA DOLLY MAE PHI
12:23 PM",ABELLA HANNIEL
2,Table of 32,FLORES MARIEL ELIANNE,VILLAPANDO JHOLAN,"15 - 12
Ref ERGINA LEE EIGRAN NTP / PHI",FLORES MARIEL ELIANNE
2,Table of 32,DINOY IVY CLAIRE,NORO NAMI,"15 - 10
Ref JOSE NOELITO JR. NTP / PHI",DINOY IVY CLAIRE
2,Table of 32,MANAOIS IRISH,HARRISON ASHLEY MAE MICHELLE,"15 - 11
Ref CAPINA DUNHILL HCFC / PHI",HARRISON ASHLEY MAE MICHELLE
2,Table of 32,LARRAZABAL ALEXA,SYKAT ROBYN NOELLE,"15 - 7
Ref DAYRO JOHN PAUL UP / PHI",LARRAZABAL ALEXA
2,Table of 32,MARTINEZ TASHA ISABELLA,BUSTOS MICKYLE REIN,"15 - 6
Ref GAJON JOHN MICHAEL PHI",BUSTOS MICKYLE REIN
2,Table of 32,ONG JICKLE CLAIN,VERGARA CYRRA,"15 - 12
Ref MARAVILLA REMI RF / PHI",VERGARA CYRRA
2,Table of 32,BUENO MARIA KRISTINA ANGELA,CANLAS NINA DOMINIQUE,"15 - 11
Ref DEL ROSARIO CLICHELLEYN PHI
12:19 PM",CANLAS NINA DOMINIQUE
2,Table of 16,SEVILLA JULIANA SHANE,DELOS SANTOS JAYMI,"15 - 7
Ref CURIBA DOLLY MAE PHI
12:50 PM",DELOS SANTOS JAYMI
2,Table of 16,EDNILAG KRUPS KAYA,SALVADOR IVANA,"15 - 11
Ref DEL ROSARIO CLICHELLEYN PHI
12:48 PM",EDNILAG KRUPS KAYA
2,Table of 16,MATIAS ANDREA JENNELLE,SCHOFIELD CYRYLLE ANNE,"15 - 7
Ref GAJON JOHN MICHAEL PHI
12:39 PM",MATIAS ANDREA JENNELLE
2,Table of 16,TRINIDAD SOLANA MAYUMI,GOMEZ JULIANA MA. BEATRICE,"15 - 5
Ref CABAERO RAVEN PHI
1:09 PM",GOMEZ JULIANA MA. BEATRICE
2,Table of 16,ABELLA HANNIEL,FLORES MARIEL ELIANNE,"15 - 5
Ref JOSE SHERLYN HCFC / PHI
1:00 PM",ABELLA HANNIEL
2,Table of 16,DINOY IVY CLAIRE,HARRISON ASHLEY MAE MICHELLE,"13 - 8
Ref ERGINA LEE EIGRAN NTP / PHI
1:13 PM",HARRISON ASHLEY MAE MICHELLE
2,Table of 16,LARRAZABAL ALEXA,BUSTOS MICKYLE REIN,"15 - 5
Ref JOSE NOELITO JR. NTP / PHI
1:05 PM",LARRAZABAL ALEXA
2,Table of 16,VERGARA CYRRA,CANLAS NINA DOMINIQUE,"15 - 8
Ref MARAVILLA REMI RF / PHI
1:04 PM",VERGARA CYRRA
2,Table of 8,DELOS SANTOS JAYMI,EDNILAG KRUPS KAYA,"15 - 10
Ref CAPINA DUNHILL HCFC / PHI
1:37 PM",EDNILAG KRUPS KAYA
2,Table of 8,MATIAS ANDREA JENNELLE,GOMEZ JULIANA MA. BEATRICE,"15 - 14
Ref JOSE NOELITO JR. NTP / PHI
1:29 PM",GOMEZ JULIANA MA. BEATRICE
2,Table of 8,ABELLA HANNIEL,HARRISON ASHLEY MAE MICHELLE,"15 - 13
Ref JOSE SHERLYN HCFC / PHI
1:40 PM",HARRISON ASHLEY MAE MICHELLE
2,Table of 8,LARRAZABAL ALEXA,VERGARA CYRRA,"15 - 4
Ref MARAVILLA REMI RF / PHI
1:44 PM",LARRAZABAL ALEXA
2,Semi-Finals,EDNILAG KRUPS KAYA,GOMEZ JULIANA MA. BEATRICE,"15 - 9
Ref ERGINA LEE EIGRAN NTP / PHI
Video JOSE SHERLYN HCFC / PHI
2:06 PM",EDNILAG KRUPS KAYA
2,Semi-Finals,HARRISON ASHLEY MAE MICHELLE,LARRAZABAL ALEXA,"15 - 10
Ref JOSE NOELITO JR. NTP / PHI
2:10 PM",LARRAZABAL ALEXA
2,Finals,EDNILAG KRUPS KAYA,LARRAZABAL ALEXA,"15 - 8
Ref JOSE NOELITO JR. NTP / PHI
2:34 PM",LARRAZABAL ALEXA
3,Table of 32,LARRAZABAL ALEXA,SIA SARAH-INGRID AURELIA,"15 - 4
Ref OBZUNAR AURELL FLORENCE UE / PHI",LARRAZABAL ALEXA
3,Table of 32,ONG JICKLE CLAIN,MANAOIS IRISH,"15 - 14
Ref MARAVILLA REMI RF / PHI",ONG JICKLE CLAIN
3,Table of 32,TRINIDAD SOLANA MAYUMI,GEPUELA CATHERINE THERESE,"15 - 13
Ref CURIBA DOLLY MAE PHI",TRINIDAD SOLANA MAYUMI
3,Table of 32,BARRIENTOS ANDREA,HARRISON ASHLEY MAE MICHELLE,"15 - 3
Ref BAUTISTA JIAN MIGUEL NTP / PHI",HARRISON ASHLEY MAE MICHELLE
3,Table of 32,SCHOFIELD CYRYLLE ANNE,SANDOVAL JUSTA ANDREA,"15 - 11
Ref CABAERO RAVEN USTFT / PHI",SCHOFIELD CYRYLLE ANNE
3,Table of 32,TORRE PAPINA MARGUERITE,BUSTOS MICKYLE REIN,"15 - 6
Ref JOSE NOELITO JR. NTP / PHI",BUSTOS MICKYLE REIN
3,Table of 32,CANLAS NINA DOMINIQUE,SYKAT ROBYN NOELLE,"15 - 8
Ref VALENA MALCOLM PHI",CANLAS NINA DOMINIQUE
3,Table of 32,DELA CRUZ CHIARA MICHAELA,ABELLA HANNIEL,"15 - 7
Ref ERGINA LEE EIGRAN NTP / PHI",ABELLA HANNIEL
3,Table of 32,GOMEZ JULIANA MA. BEATRICE,TAPALES ENDIRAJ MARGARET,"15 - 14
Ref VALENA MALCOLM PHI",GOMEZ JULIANA MA. BEATRICE
3,Table of 32,NORO NAMI,RAGOT MIKAELA NICOLE,"15 - 9
Ref CURIBA DOLLY MAE PHI",NORO NAMI
3,Table of 32,DELOS SANTOS JAYMI,BUENO MARIA KRISTINA ANGELA,"15 - 14
Ref OBZUNAR AURELL FLORENCE UE / PHI",BUENO MARIA KRISTINA ANGELA
3,Table of 32,MARTINEZ TASHA ISABELLA,VERGARA CYRRA,"15 - 12
Ref BAUTISTA JIAN MIGUEL NTP / PHI",VERGARA CYRRA
3,Table of 32,SALVADOR IVANA,FELICIANO SUMMER LUCINE,"15 - 3
Ref JOSE NOELITO JR. NTP / PHI",SALVADOR IVANA
3,Table of 32,FLORES MARIEL ELIANNE,EDNILAG KRUPS KAYA,"15 - 11
Ref ERGINA LEE EIGRAN NTP / PHI",EDNILAG KRUPS KAYA
3,Table of 32,MATIAS ANDREA JENNELLE,MENDOZA JENNINA,"15 - 12
Ref MARAVILLA REMI RF / PHI",MATIAS ANDREA JENNELLE
3,Table of 32,JUNIA ELEINA MARGUERITE,DINOY IVY CLAIRE,"15 - 5
Ref CABAERO RAVEN USTFT / PHI",DINOY IVY CLAIRE
3,Table of 16,LARRAZABAL ALEXA,ONG JICKLE CLAIN,"15 - 13
Ref MARAVILLA REMI RF / PHI
11:45 AM",LARRAZABAL ALEXA
3,Table of 16,TRINIDAD SOLANA MAYUMI,HARRISON ASHLEY MAE MICHELLE,"15 - 6
Ref CURIBA DOLLY MAE PHI
11:54 AM",HARRISON ASHLEY MAE MICHELLE
3,Table of 16,SCHOFIELD CYRYLLE ANNE,BUSTOS MICKYLE REIN,"15 - 9
Ref OBZUNAR AURELL FLORENCE UE / PHI
11:47 AM",BUSTOS MICKYLE REIN
3,Table of 16,CANLAS NINA DOMINIQUE,ABELLA HANNIEL,"15 - 9
Ref BAUTISTA JIAN MIGUEL NTP / PHI
11:52 AM",ABELLA HANNIEL
3,Table of 16,GOMEZ JULIANA MA. BEATRICE,NORO NAMI,"15 - 7
Ref CABAERO RAVEN USTFT / PHI
12:16 PM",GOMEZ JULIANA MA. BEATRICE
3,Table of 16,BUENO MARIA KRISTINA ANGELA,VERGARA CYRRA,"15 - 10
Ref JOSE NOELITO JR. NTP / PHI
12:14 PM",VERGARA CYRRA
3,Table of 16,SALVADOR IVANA,EDNILAG KRUPS KAYA,"15 - 10
Ref ERGINA LEE EIGRAN NTP / PHI
12:12 PM",SALVADOR IVANA
3,Table of 16,MATIAS ANDREA JENNELLE,DINOY IVY CLAIRE,"15 - 8
Ref VALENA MALCOLM PHI
12:14 PM",DINOY IVY CLAIRE
3,Table of 8,LARRAZABAL ALEXA,HARRISON ASHLEY MAE MICHELLE,"15 - 8
Ref JOSE NOELITO JR. NTP / PHI
12:49 PM",LARRAZABAL ALEXA
