Leg,Pool,Right Fencer,Score1,Score2,Left Fencer
1,1,MENDOZA JENNINA,V5,D2,ONG JICKLE CLAIN
1,1,JIMENEZ JULIANNA,V5,D1,VELASCO ZOEY NICOLE
1,1,RAFAEL RANA IMOGEN,D2,V5,LARRAZABAL ALEXA
1,1,VELASCO ZOEY NICOLE,D2,V5,MENDOZA JENNINA
1,1,ONG JICKLE CLAIN,V5,D4,RAFAEL RANA IMOGEN
1,1,LARRAZABAL ALEXA,V5,D1,JIMENEZ JULIANNA
1,1,MENDOZA JENNINA,V5,D4,RAFAEL RANA IMOGEN
1,1,VELASCO ZOEY NICOLE,D0,V5,LARRAZABAL ALEXA
1,1,JIMENEZ JULIANNA,D3,V5,ONG JICKLE CLAIN
1,1,LARRAZABAL ALEXA,V5,D0,MENDOZA JENNINA
1,1,RAFAEL RANA IMOGEN,D4,V5,JIMENEZ JULIANNA
1,1,ONG JICKLE CLAIN,V5,D4,VELASCO ZOEY NICOLE
1,1,MENDOZA JENNINA,V5,D4,JIMENEZ JULIANNA
1,1,LARRAZABAL ALEXA,V5,D2,ONG JICKLE CLAIN
1,1,VELASCO ZOEY NICOLE,D0,V5,RAFAEL RANA IMOGEN
1,2,ALPUERTO PARIS,D0,V5,SCHOFIELD CYRYLLE ANNE
1,2,ABELLA HANNIEL,V5,D4,TAPALES ENDIRAJ MARGARET
1,2,DEL ROSARIO SARINA KELLY,V5,D1,MANGULABNAN KIANA DOMINIQUE
1,2,TAPALES ENDIRAJ MARGARET,V5,D2,ALPUERTO PARIS
1,2,SCHOFIELD CYRYLLE ANNE,V5,D3,DEL ROSARIO SARINA KELLY
1,2,MANGULABNAN KIANA DOMINIQUE,D3,V5,ABELLA HANNIEL
1,2,ALPUERTO PARIS,D2,V5,DEL ROSARIO SARINA KELLY
1,2,TAPALES ENDIRAJ MARGARET,V5,D4,MANGULABNAN KIANA DOMINIQUE
1,2,ABELLA HANNIEL,V5,D2,SCHOFIELD CYRYLLE ANNE
1,2,MANGULABNAN KIANA DOMINIQUE,V5,D3,ALPUERTO PARIS
1,2,DEL ROSARIO SARINA KELLY,D2,V5,ABELLA HANNIEL
1,2,SCHOFIELD CYRYLLE ANNE,V5,D3,TAPALES ENDIRAJ MARGARET
1,2,ALPUERTO PARIS,D0,V5,ABELLA HANNIEL
1,2,MANGULABNAN KIANA DOMINIQUE,D0,V5,SCHOFIELD CYRYLLE ANNE
1,2,TAPALES ENDIRAJ MARGARET,D4,V5,DEL ROSARIO SARINA KELLY
1,3,HARRISON ASHLEY MAE MICHELLE,V5,D0,JUNIA ELEINA MARGUERITE
1,3,TRINIDAD SOLANA MAYUMI,D4,V5,MANAOIS IRISH
1,3,RAGOT MICHELLE,D1,V5,VILLAPANDO JHOLAN
1,3,MANAOIS IRISH,D1,V5,HARRISON ASHLEY MAE MICHELLE
1,3,JUNIA ELEINA MARGUERITE,V5,D3,VILLAPANDO JHOLAN
1,3,RAGOT MICHELLE,D3,V5,TRINIDAD SOLANA MAYUMI
1,3,HARRISON ASHLEY MAE MICHELLE,D3,V5,VILLAPANDO JHOLAN
1,3,MANAOIS IRISH,V5,D0,RAGOT MICHELLE
1,3,TRINIDAD SOLANA MAYUMI,D3,V5,JUNIA ELEINA MARGUERITE
1,3,RAGOT MICHELLE,D0,V5,HARRISON ASHLEY MAE MICHELLE
1,3,TRINIDAD SOLANA MAYUMI,D3,V5,VILLAPANDO JHOLAN
1,3,JUNIA ELEINA MARGUERITE,D4,V5,MANAOIS IRISH
1,3,HARRISON ASHLEY MAE MICHELLE,V5,D1,TRINIDAD SOLANA MAYUMI
1,3,RAGOT MICHELLE,V5,D3,JUNIA ELEINA MARGUERITE
1,3,MANAOIS IRISH,D0,V5,VILLAPANDO JHOLAN
1,4,FELICIANO SUMMER LUCINE,V4,D3,DELA CRUZ CHIARA MICHAELA
1,4,BUSTOS MICKYLE REIN,V5,D3,BERNABE FRANCESCA BETTINA
1,4,NORO NAMI,D4,V5,MATIAS ANDREA JENNELLE
1,4,BERNABE FRANCESCA BETTINA,D2,V5,FELICIANO SUMMER LUCINE
1,4,DELA CRUZ CHIARA MICHAELA,D2,V5,NORO NAMI
1,4,MATIAS ANDREA JENNELLE,V5,D3,BUSTOS MICKYLE REIN
1,4,FELICIANO SUMMER LUCINE,D1,V5,NORO NAMI
1,4,BERNABE FRANCESCA BETTINA,D4,V5,MATIAS ANDREA JENNELLE
1,4,BUSTOS MICKYLE REIN,V5,D3,DELA CRUZ CHIARA MICHAELA
1,4,MATIAS ANDREA JENNELLE,V5,D4,FELICIANO SUMMER LUCINE
1,4,NORO NAMI,D2,V5,BUSTOS MICKYLE REIN
1,4,DELA CRUZ CHIARA MICHAELA,D3,V5,BERNABE FRANCESCA BETTINA
1,4,FELICIANO SUMMER LUCINE,D1,V5,BUSTOS MICKYLE REIN
1,4,MATIAS ANDREA JENNELLE,V5,D3,DELA CRUZ CHIARA MICHAELA
1,4,BERNABE FRANCESCA BETTINA,V5,D3,NORO NAMI
1,5,DINOY IVY CLAIRE,V5,D1,TORRE PAPINA MARGUERITE
1,5,EDNILAG KRUPS KAYA,V5,D1,RODRIGUEZ ELOUISE NOELLE
1,5,CANLAS NINA DOMINIQUE,V5,D1,BELEN FRANCES CAMILLE
1,5,DINOY IVY CLAIRE,V5,D0,RODRIGUEZ ELOUISE NOELLE
1,5,TORRE PAPINA MARGUERITE,D2,V5,CANLAS NINA DOMINIQUE
1,5,BELEN FRANCES CAMILLE,V5,D3,EDNILAG KRUPS KAYA
1,5,DINOY IVY CLAIRE,D4,V5,CANLAS NINA DOMINIQUE
1,5,BELEN FRANCES CAMILLE,V5,D0,RODRIGUEZ ELOUISE NOELLE
1,5,EDNILAG KRUPS KAYA,V5,D2,TORRE PAPINA MARGUERITE
1,5,BELEN FRANCES CAMILLE,D4,V5,DINOY IVY CLAIRE
1,5,CANLAS NINA DOMINIQUE,V5,D4,EDNILAG KRUPS KAYA
1,5,TORRE PAPINA MARGUERITE,V5,D0,RODRIGUEZ ELOUISE NOELLE
1,5,DINOY IVY CLAIRE,V5,D2,EDNILAG KRUPS KAYA
1,5,BELEN FRANCES CAMILLE,D4,V5,TORRE PAPINA MARGUERITE
1,5,CANLAS NINA DOMINIQUE,V5,D0,RODRIGUEZ ELOUISE NOELLE
1,6,VERGARA CYRRA,V5,D2,GEPUELA CATHERINE THERESE
1,6,DELOS SANTOS JAYMI,V5,D2,UY JANA ANNIKA
1,6,GOMEZ JULIANA MA. BEATRICE,D3,V5,VERGARA CYRRA
1,6,GEPUELA CATHERINE THERESE,D2,V5,DELOS SANTOS JAYMI
1,6,GOMEZ JULIANA MA. BEATRICE,V5,D1,UY JANA ANNIKA
1,6,VERGARA CYRRA,V5,D2,DELOS SANTOS JAYMI
1,6,GEPUELA CATHERINE THERESE,D1,V5,GOMEZ JULIANA MA. BEATRICE
1,6,VERGARA CYRRA,V5,D3,UY JANA ANNIKA
1,6,DELOS SANTOS JAYMI,D4,V5,GOMEZ JULIANA MA. BEATRICE
1,6,GEPUELA CATHERINE THERESE,D2,V5,UY JANA ANNIKA
1,7,BALLESTEROS JULIANNA,V5,D4,SALVADOR IVANA
1,7,PALO AJ DREYFUS,D3,V5,RAFAEL GAY MARIE
1,7,RAGOT MIKAELA NICOLE,D0,V5,BALLESTEROS JULIANNA
1,7,PALO AJ DREYFUS,D0,V5,SALVADOR IVANA
1,7,RAGOT MIKAELA NICOLE,V5,D4,RAFAEL GAY MARIE
1,7,BALLESTEROS JULIANNA,V5,D1,PALO AJ DREYFUS
1,7,RAGOT MIKAELA NICOLE,D4,V5,SALVADOR IVANA
1,7,BALLESTEROS JULIANNA,V5,D3,RAFAEL GAY MARIE
1,7,PALO AJ DREYFUS,D0,V5,RAGOT MIKAELA NICOLE
1,7,RAFAEL GAY MARIE,D2,V5,SALVADOR IVANA
2,1,TAPALES ENDIRAJ MARGARET,D4,V5,VILLAPANDO JHOLAN
2,1,TRINIDAD SOLANA MAYUMI,V5,D1,SIA SARAH-INGRID AURELIA
2,1,ESPIRITU ISABELLE TONIGRACE,D0,V5,LARRAZABAL ALEXA
2,1,TAPALES ENDIRAJ MARGARET,V5,D4,UY JANA ANNIKA
2,1,SIA SARAH-INGRID AURELIA,D0,V5,VILLAPANDO JHOLAN
2,1,TRINIDAD SOLANA MAYUMI,V5,D2,ESPIRITU ISABELLE TONIGRACE
2,1,LARRAZABAL ALEXA,V5,D3,UY JANA ANNIKA
2,1,SIA SARAH-INGRID AURELIA,D3,V5,TAPALES ENDIRAJ MARGARET
2,1,ESPIRITU ISABELLE TONIGRACE,D2,V5,VILLAPANDO JHOLAN
2,1,LARRAZABAL ALEXA,V5,D3,TRINIDAD SOLANA MAYUMI
2,1,SIA SARAH-INGRID AURELIA,V5,D3,UY JANA ANNIKA
2,1,ESPIRITU ISABELLE TONIGRACE,D0,V5,TAPALES ENDIRAJ MARGARET
2,1,LARRAZABAL ALEXA,V5,D3,VILLAPANDO JHOLAN
2,1,TRINIDAD SOLANA MAYUMI,V5,D4,UY JANA ANNIKA
2,1,ESPIRITU ISABELLE TONIGRACE,D2,V5,SIA SARAH-INGRID AURELIA
2,1,TAPALES ENDIRAJ MARGARET,V5,D4,LARRAZABAL ALEXA
2,1,TRINIDAD SOLANA MAYUMI,V5,D2,VILLAPANDO JHOLAN
2,1,ESPIRITU ISABELLE TONIGRACE,D3,V5,UY JANA ANNIKA
2,1,LARRAZABAL ALEXA,V5,D2,SIA SARAH-INGRID AURELIA
2,1,TAPALES ENDIRAJ MARGARET,V5,D2,TRINIDAD SOLANA MAYUMI
2,1,VILLAPANDO JHOLAN,V5,D4,UY JANA ANNIKA
2,2,SANDOVAL JUSTA ANDREA,V5,D4,MARTINEZ TASHA ISABELLA
2,2,SCHOFIELD CYRYLLE ANNE,V5,D3,RAFAEL GAY MARIE
2,2,ABELLA HANNIEL,V5,D3,NORO NAMI
2,2,MANGULABNAN KIANA DOMINIQUE,D2,V5,SANDOVAL JUSTA ANDREA
2,2,SCHOFIELD CYRYLLE ANNE,V5,D4,MARTINEZ TASHA ISABELLA
2,2,ABELLA HANNIEL,V5,D2,RAFAEL GAY MARIE
2,2,NORO NAMI,V5,D3,MANGULABNAN KIANA DOMINIQUE
2,2,SCHOFIELD CYRYLLE ANNE,V5,D4,SANDOVAL JUSTA ANDREA
2,2,ABELLA HANNIEL,V5,D3,MARTINEZ TASHA ISABELLA
2,2,NORO NAMI,V5,D0,RAFAEL GAY MARIE
2,2,SCHOFIELD CYRYLLE ANNE,V5,D0,MANGULABNAN KIANA DOMINIQUE
2,2,ABELLA HANNIEL,V5,D3,SANDOVAL JUSTA ANDREA
2,2,NORO NAMI,D4,V5,MARTINEZ TASHA ISABELLA
