Leg,Pool,Right Fencer,Score1,Score2,Left Fencer
1,pool1,MENDOZA JENNINA,V5,D2,ONG JICKLE CLAIN
1,pool1,JIMENEZ JULIANNA,V5,D1,VELASCO ZOEY NICOLE
1,pool1,RAFAEL RANA IMOGEN,D2,V5,LARRAZABAL ALEXA
1,pool1,VELASCO ZOEY NICOLE,D2,V5,MENDOZA JENNINA
1,pool1,ONG JICKLE CLAIN,V5,D4,RAFAEL RANA IMOGEN
1,pool1,LARRAZABAL ALEXA,V5,D1,JIMENEZ JULIANNA
1,pool1,MENDOZA JENNINA,V5,D4,RAFAEL RANA IMOGEN
1,pool1,VELASCO ZOEY NICOLE,D0,V5,LARRAZABAL ALEXA
1,pool1,JIMENEZ JULIANNA,D3,V5,ONG JICKLE CLAIN
1,pool1,LARRAZABAL ALEXA,V5,D0,MENDOZA JENNINA
1,pool1,RAFAEL RANA IMOGEN,D4,V5,JIMENEZ JULIANNA
1,pool1,ONG JICKLE CLAIN,V5,D4,VELASCO ZOEY NICOLE
1,pool1,MENDOZA JENNINA,V5,D4,JIMENEZ JULIANNA
1,pool1,LARRAZABAL ALEXA,V5,D2,ONG JICKLE CLAIN
1,pool1,VELASCO ZOEY NICOLE,D0,V5,RAFAEL RANA IMOGEN
1,pool2,ALPUERTO PARIS,D0,V5,SCHOFIELD CYRYLLE ANNE
1,pool2,ABELLA HANNIEL,V5,D4,TAPALES ENDIRAJ MARGARET
1,pool2,DEL ROSARIO SARINA KELLY,V5,D1,MANGULABNAN KIANA DOMINIQUE
1,pool2,TAPALES ENDIRAJ MARGARET,V5,D2,ALPUERTO PARIS
1,pool2,SCHOFIELD CYRYLLE ANNE,V5,D3,DEL ROSARIO SARINA KELLY
1,pool2,MANGULABNAN KIANA DOMINIQUE,D3,V5,ABELLA HANNIEL
1,pool2,ALPUERTO PARIS,D2,V5,DEL ROSARIO SARINA KELLY
1,pool2,TAPALES ENDIRAJ MARGARET,V5,D4,MANGULABNAN KIANA DOMINIQUE
1,pool2,ABELLA HANNIEL,V5,D2,SCHOFIELD CYRYLLE ANNE
1,pool2,MANGULABNAN KIANA DOMINIQUE,V5,D3,ALPUERTO PARIS
1,pool2,DEL ROSARIO SARINA KELLY,D2,V5,ABELLA HANNIEL
1,pool2,SCHOFIELD CYRYLLE ANNE,V5,D3,TAPALES ENDIRAJ MARGARET
1,pool2,ALPUERTO PARIS,D0,V5,ABELLA HANNIEL
1,pool2,MANGULABNAN KIANA DOMINIQUE,D0,V5,SCHOFIELD CYRYLLE ANNE
1,pool2,TAPALES ENDIRAJ MARGARET,D4,V5,DEL ROSARIO SARINA KELLY
1,pool3,HARRISON ASHLEY MAE MICHELLE,V5,D0,JUNIA ELEINA MARGUERITE
1,pool3,TRINIDAD SOLANA MAYUMI,D4,V5,MANAOIS IRISH
1,pool3,RAGOT MICHELLE,D1,V5,VILLAPANDO JHOLAN
1,pool3,MANAOIS IRISH,D1,V5,HARRISON ASHLEY MAE MICHELLE
